,3LargestGFA,ListOfAllPropertyUseTypes,FirstUseType,SecondLargestPropertyUseType,YearBuilt,NumberofFloors,NumberofBuildings,Latitude,Longitude,Neighborhood,SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu)
1899,43016.0,Office,Small- and Mid-Sized Office,,1979,2,1.0,47.63063,-122.37428,MAGNOLIA / QUEEN ANNE,1234095.5,107823.0,1126273.0,0.0
1900,20809.0,"Medical Office, Non-Refrigerated Warehouse, Office, Other",Mixed Use Property,Non-Refrigerated Warehouse,1931,1,1.0,47.63034,-122.37412,MAGNOLIA / QUEEN ANNE,1055033.0,731279.0,323754.0,0.0
1901,20671.0,Office,Small- and Mid-Sized Office,,1940,2,1.0,47.63128,-122.37387,MAGNOLIA / QUEEN ANNE,638507.125,198321.0,440186.0,0.0
1903,21600.0,Non-Refrigerated Warehouse,Warehouse,,1927,1,1.0,47.58065,-122.33356,GREATER DUWAMISH,499828.5938,264154.0,235675.0,0.0
1907,35844.0,Worship Facility,Worship Facility,,1977,1,1.0,47.50959,-122.37417,SOUTHWEST,866126.375,866126.0,0.0,0.0
1908,33837.0,"Office, Parking, Retail Store",Small- and Mid-Sized Office,Retail Store,1916,3,1.0,47.66116,-122.34172,LAKE UNION,1639136.25,1477827.0,161309.0,0.0
1922,26094.0,Non-Refrigerated Warehouse,Warehouse,,1953,1,1.0,47.56121,-122.33872,GREATER DUWAMISH,709990.8125,709991.0,0.0,0.0
1923,23687.0,Office,Small- and Mid-Sized Office,,1983,2,1.0,47.56121,-122.33872,GREATER DUWAMISH,1084553.75,1084554.0,0.0,0.0
1924,24221.0,Office,Small- and Mid-Sized Office,,1983,2,1.0,47.56121,-122.33872,GREATER DUWAMISH,1435562.75,1435563.0,0.0,0.0
1925,69100.0,"Office, Parking, Retail Store",Mixed Use Property,Retail Store,1900,2,1.0,47.60546,-122.34091,DOWNTOWN,5381105.0,5381104.0,0.0,0.0
1926,32027.0,"Office, Retail Store",Small- and Mid-Sized Office,Retail Store,1900,2,1.0,47.60546,-122.34091,DOWNTOWN,3999505.25,1820615.0,2178890.0,0.0
1927,49912.0,"Office, Retail Store",Small- and Mid-Sized Office,Retail Store,1906,3,1.0,47.6032,-122.33663,DOWNTOWN,2805826.0,2805826.0,0.0,0.0
1929,49961.0,"Non-Refrigerated Warehouse, Office",Small- and Mid-Sized Office,Non-Refrigerated Warehouse,1914,3,1.0,47.58802,-122.32111,GREATER DUWAMISH,2018385.75,1238171.0,780215.0,0.0
1931,52609.0,K-12 School,K-12 School,,1971,2,1.0,47.55226,-122.29629,GREATER DUWAMISH,1801941.75,1066165.0,735777.0,0.0
